EN-GLOSS	ES-GLOSS	FR-GLOSS	PG-GLOSS	semantic field	Achagua	Baniwa	Baré	Kabiyari	Piapoco	Resigaro	Tariana	Warekena	Yukuna
fingernail/toenail/claw	uña, garra	ongle	unha, garra	body part	$jubawiaʃi$ <júbawiaʃi> (uña) {Melendez 2011}	$-tsóta$ (unha) {Ramirez 2001}	$ʰnaba$ (unha) {Oliveira 93}	<u'upa> $uʔupa$ (unha) {Epps}	<uba> $uba$ (unha) {Epps}	$hiʔtáví$ (unha) {Epps}	$di-pá-da$ (unha) {Aikhenvald 2001}	$nuʃuɾawi napibu$ (unha) {Aikhenvald 2012}	$huʔupahi$ (unha) {Epps}
finish.VI	acabar/terminar	se terminer	terminar, acabar	verb.int	$niseri$ <níseri> (terminar) {Melendez 2011}	$-wadzáka$ (terminar, acabar) {Ramirez 2001}			$imáalàidaca$ (acabarse) {Klump95}, $nudéka$ (terminar) {Klumpp 1995}, $numà:kaka$ (Klumpp 1995) {Klumpp 1995}		$di-yáli$ (acabar-se, terminar) {Ainkhenvald2001}, $di-ñáli$ (acabar-se, terminar) {Aikhenvald 2001}	$inapa$ (terminar) {Aikhenvald 2012}	$tahnákaho$ (acabar-se) {Schauer 2005}
finish.VT	acabar, terminar (completar)	finir	terminar	verb.act	$besuneriu$ <bésuneriu> (terminar) {Melendez 2011}	$-wadzáka$ (terminar) {Ramirez 2001}			$numá:ɺàidaka$ (acabar) {Klumpp 1995}	$-etshó$ (acabar) {Allin 1979}	$di-sisá$ (acabar) {Aikhenvald 2001}		$tahátakahe$ (acabar) {Schauer 2005}
fins	aleta (de pescado)	nageoire (de poisson)	barbatana	body part									$weʔetehi$ (barbatana) {Schauer 2005}
fire	fuego	feu	fogo	other	$tʃitʃai$ <tʃitʃái> (fuego) {Melendez 2011}	$t̺ídze:$ (fogo) {Ramirez 2001}	$kameni$ (fogo) {Oliveira 93}	<kira'ari> $kiraʔari$ (fogo) {Epps}	<quichái> $kitʃái$ (fogo) {Epps}, <síyái> $síjái$ (fogo) {Epps}	$oʔkonáʔ$ (fogo) {Epps}	$syáwa$ (fogo) {Aikhenvald 2001}	$aʃi$ (fogo) {Aikhenvald 2012}	$hihá$ (fogo) {Epps}, $keɾaʔatani$ (fogo) {Epps}
firefly	luciérnaga	luciole	vaga-luma, pirilampo	insect	$ku:di$ <kúudi> (luciernaga) {Melendez 2011}	$tó:ke$ (vaga-lume) {Ramirez 2001}, $awít̺i$ (vaga-lume) {Ramirez 2001}			<cúude> $kú:de$ (vagalume) {Epps}, $kú:di$ (vagalume) {Klumpp 1995}	$hivíigí$ (luciole) {Allin 1979}	$tõkẽ$ (vagalume) {Aikhenvald 2001}, $sipále ihéni$ (vagalume) {Aikhenvald 2001}		$kute$ (vaga-lume) {Epps}, $puhihú$ (vaga-lume) {Epps}, $puhahnetʃí$ (vaga-lume) {Epps}
firewood	leña	bois de chauffage	lenha	material culture	$tʃitʃaba$ <tʃitʃába> (leña) {Melendez 2011}	$t̺idzé:na$ (lenha) {Ramirez 2001}	$itikʰi$ (lenha) {Oliveira 93}		<kitʃái> $kitʃái$ (lenha) {Epps}, <àicu míisíiri> $àiku mí:sí:ɾi$ (lenha) {Epps}, $síjái$ (lenha) {Klumpp 1995}	$itsítsó$ (lenha) {Epps}	$sié$ (lenha) {Aikhenvald 2001}, $tsié$ (lenha) {Aikhenvald 2001}	$aʃiti$ (lenha) {Aikhenvald 2012}, $aʃitʃi$ (lenha) {Aikhenvald 2012}	$siha$ (lenha) {Epps}, $hihá$ (lenha) {Epps}
first	primero	premier	primeiro	temporal adv	$ke:tʃa$ <kéetʃa> (primero) {Melendez 2011}	$-pé:dza$ (primeiro) {Ramirez 2001}			$idàbáanéeri$ (primeiro) {H&R 1992}	$patophé$ (primeiro) {Allin 1979}			$paineko$ (primeiro) {Schauer 2005}
fish (N)	pez	poisson	peixe	fish	$kubai$ <kubái> (pez) {Melendez 2011}	$kóphe$ (peixe) {Ramirez 2001}	$kubati$ (peixe) {Oliveira 93}	<kúpha> $kúpha$ (peixe) {Epps}, $ʔulle$ (peixe) {H&R92}	<kubái> $kubái$ (peixe) {dp91}	$ámoogí$ (peixe) {Epps}	$kúphe$ (peixe) {Aikhenvald 2001}, $kú:phe$ (peixe) {Aikhenvald 2001}	$ʃime$ (peixe) {Aikhenvald 2012}	$kúpe$ (peixe) {Epps}
fish (with barbasco)	barbasquear, pescar con veneno	pêcher à la nivrée	envenenar com timbó	verb.act					<uma> $uma$ (pescar com barbasco) {R01}	$oʔdomú$ (pescar com veneno) {Epps}	$dhilítu$ (pescar) {Aikhenvald 2001}		$wehɾakahe$ (envenenar com timbó) {Schauer 2005}
fish (with line)	anzuelear, pescar con anzuelo, pescar con vara	pêcher à la ligne	pescar con anzuelo, pescar con vara	verb.act	$tesueri$ <tésueri> (pescar) {Melendez 2011}	$-i:tsaɺéta$ (pescar) {Ramirez 2001}, $-winíta$ (pescar) {Ramirez 2001}			<chucùluta> $tʃukùluta$ (pescar com linha) {Epps}	$eeʔpʰi-kʰú$ (pescar com linha) {Epps}	$dhilítu$ (pescar) {Aikhenvald 2001}		$anaʔakahe$ (pescar com anzol) {Epps}
fish (with net)	pescar (con red), trampear	pêcher au filet	pescar (com rede)	verb.act							$dhilítu$ (pescar) {Aikhenvald 2001}	$puteta$ (pescar) {Aikhenvald 2012}	
fish hook	anzuelo	hameçon	anzol	material culture	$kulúpa$ <kulupa> (anzuelo) {Melendez 2011}	$-iítsa$ (anzol) {Ramirez 2001}	$tʃawari$ (anzol) {Oliveira 93}		$puìwi$ (anzol) {H&R 1992}	$eeʔphígú$ (anzol) {Allin 1979}	$koláyu$ (anzol) {Aikhenvald 2001}, $kuléyu$ (anzol) {Aikhenvald 2001}, $kolé$ (anzol) {Aikhenvald 2001}		$anaʔahoɾi$ (anzol) {Schauer 2005}
fish poison, Sp “barbasco”	barbasco	nivrée	timbó, gordolobo, verbasco	material culture	$ku:na$ <kúuna> (barbasco) {Melendez 2011}	$a:ɺidaɺi:t̺ípi$ (timbó) {Ramirez 2001}, $ináme$ (timbó) {Ramirez 2001}, $iɻamínaɺi$ (timbó) {Ramirez 2001}, $kó:na$ (timbó) {Ramirez 2001}, $koɻápi$ (timbó) {Ramirez 2001}, $kot̺í:phe$ (timbó) {Ramirez 2001}, $t̺amaɺída$ (timbó) {Ramirez 2001}, $ɺíkama$ (timbó) {Ramirez 2001}		<jáame> $jáame$ (timbó) {Epps}	<cúna> $kúna$ (barbasco) {Epps}	$konáa-pi$ (timbó) {Epps}	$kesí-na$ $kesí-na$ (barbasco) {Epps}		$kuna$ (barbasco cultivado) {Epps}, $kunaʔapí$ (barbasco silvestre) {Epps}, $pupeʔehɾí$ (barbasco cultivado) {Epps}
fisherman	pescador	pêcheur	pescador	other	$katesukai$ <katésukai> (pescador) {Melendez 2011}				$ibaɺé:ɾi$ (pescador) {Klumpp 1995}, $ikamé:ɾi$ (pescador) {Klumpp 1995}	$eeʔphikhekííʔʒovígí$ (pescador com anzol) {Allin 1979}, $óʔdóneííʔʒovígí$ (pescador com barbasco) {Allin 1979}		$puteta$ (pescador) {Aikhenvald 2012}	
fishing net	red de pescar, tarrafa	filet de pêche	rede de pescar, armadilha	material culture					$wàuma$ (rede de pescar) {H&R 1992}	$ɸenó$ (tarrafa) {Allin 1979}			$wenahi$ (rede de pesca) {Schauer 2005}
fishing pole	caña de pescar	canne à pêche	vara de pescar	material culture									$anaʔahoɾi paná$ (vara de pescar) {Schauer 2005}
fishing spear	arpón	harpon	arpão	material culture						$noótsígú$ (arpão) {Allin 1979}			$uʔuwatí$ (arpão) {Schauer 2005}
flame (VI)	arder	flamber, s'enflammer, prendre feu	arder	verb	$tukuleriu$ <túkuleriu> (incendiarse) {Melendez 2011}	$há:ka$ (arder) {Ramirez 2001}			$ipukúakaβa$ (arder) {Klumpp 1995}	$ketshe-ʒú$ (arder) {Allin 1979}	$di-héma$ (arder) {Aikhenvald 2001}	$ata$ (arder) {Aikhenvald 2012}, $eta$ (arder) {Aikhenvald 2012}	
flesh	carne	chair, viande	carne	other	$i:naʃi$ <íinaʃi> (carne) {Melendez 2011}	$-í:pe$ (carne) {Ramirez 2001}	$diti$ (carne) {Oliveira 93}	$ʔi:$ (carne) {H&R 1992}	$wainá$ (carne) {H&R 1992}	$gíʔí$ (carne) {H&R 1992}	$dí-pe$ (carne) {Aikhenvald 2001}		$ɾiʔí$ (carne, tecido, músculo) {Schaueɾ2005}
float	flotar	flotter	boiar, flutuar	verb.stat	$mitʃeriu$ <mítʃeriu> (flotar) {Melendez 2011}	$-t̺ámo$ (flutuar) {Ramirez 2001}			$nuβatákaβa$ (flotar) {Klumpp 1995}		$dí-maɾa$ (flutuar) {Aikhenvald 2001}		$akúwaʔakaho$ (flutuar) {Schauer 2005}
flood (V)	inundar	inonder	inundar	verb.int	$jahuederi$ <jáhuederi> (inundar) {Melendez 2011}				$jé:sakaβa$ (inundar) {Klumpp 1995}, $jé:sáidaka$ (inundar) {Klumpp 1995}				
flow, of river, of water from source	correr	couler, s'écouler, se ruisseler	escorrer, fluir	verb.int	$kanakeriu$ <kanakeriu> (correr) {Melendez 2011}		$ʰnu$ (escorrer) {Oliveira 93}		<iwatácawa> $iwatákawa$ (fluir) {Epps}	$-oʔkónó$ (fluir) {Allin 1979}			$hetʃoʔokaho$ (escorrer) {Schauer 2005}
flower	flor	fleur	flor	other	$iwinaʃi$ <íwinaʃi> (flor) {Melendez 2011}			<ʔi:winási> $ʔi:winási$ (flor) {Epps}	$íiwinási$ (flor) {H&R 1992}, $putíra$ (flor) {H&R 1992}	$giiví$ (flor) {Epps}	$díwi$ (flor) {Aikhenvald 2001}	$putʃiɾa$ (flor) {Aikhenvald 2012}, $flore$ (flor) {Aikhenvald 2012}	$iwihí$ (flor) {Epps}
flute	flauta	flûte	flauta	material culture	$bututu$ <bútutu> (flauta) {Melendez 2011}	$phe:ɺóma$ (flauta) {Ramirez 2001}, $japoɺóto$ (flauta) {Ramirez 2001}, $koɺiɻína$ (flauta) {Ramirez 2001}, $kówai$ (flauta) {Ramirez 2001}, $tsikóta$ (flauta) {Ramirez 2001}			<íwa> $íwa$ (flauta) {Epps}, <japuɺuɺu> $japuɺuɺu$ (flauta) {R01}, $íβa$ (flauta) {Klumpp 1995}, $nuíβani$ (flauta) {Klumpp 1995}	$ɸídodó$ (flauta) {Epps}	$kalísu$ (flauta) {Aikhenvald 2001}, $pisíku naphyanipe$ (flauta) {Aikhenvald 2001}, $mawáku$ (flauta) {Aikhenvald 2001}, $talíwa$ (flauta) {Aikhenvald 2001}, $yapuɾatú$ (flauta) {Aikhenvald 2001}, $phic̃íkú$ (flauta) {Aikhenvald 2001}, $neri-ñápi$ (flauta) {Aikhenvald 2001}		$kewiɾí$ (flauta) {Epps}
fly	volar	voler	voar	verb.act	$ja:reriu$ <jáareriu> (volar) {Melendez 2011}	$-á:ɻa$ (voar) {Ramirez 2001}	$ʰya$ (voar) {Oliveira 93}	<áara> $áaɾa$ (voar) {Epps}	<yálacawa> $jálakawa$ (voar) {Epps}	$adú$ $adú$ (voar) {Epps}	$di-aɾa$ (voar) {Aikhenvald 2001}	$mita$ (voar) {Aikhenvald 2012}	$ahɾakahe$ (voar) {Epps}
follow person, follow group	seguir, atrasar	suivre	seguir	verb.act		$-piɲé:ta$ (seguir) {Ramirez 2001}			$nùakaβa áiba já:mi$ (seguir) {Klumpp 1995}	$-kovanú$ (seguir) {Allin 1979}	$di-pinitá$ (seguir) {Aikhenvald 2001}	$tsipina$ (seguir) {Aikhenvald 2012}	
food	comida	nourriture	comida	other	$i:jakaiʃi$ <íijakaiʃi> (comida) {Melendez 2011}	$i:ɲhawadát̺i$ (comida) {Ramirez 2001}	$winikarehe$ (comida) {Oliveira 93}		$nujá:kaɺé$ (comida) {Klumpp 1995}	$aʔmithoótsí$ (comida) {Allin 1979}	$ñhakasí$ (comida) {Aikhenvald 2001}, $iñhakasí$ (comida) {Aikhenvald 2001}	$a:yaʃi$ (comida) {Aikhenvald 2012}, $epitʃi$ (comida) {Aikhenvald 2012}, $tsumeniʃi$ (comida) {Aikhenvald 2012}	$aʔahnehí$ (comida) {Schauer 2005}
foot	pie	pied	pé	body part	$i:baʃi$ <íibaʃi> (pie) {Melendez 2011}	$-hí:pa$ (pé) {Ramirez 2001}	$isi$ (pé) {Oliveira 93}	<híipa> $híipa$ (pé) {Epps}	<abàli> $abàli$ (pé) {Epps}	$hiiʔpú$ (pé) {Epps}	$dhipáma$ (pé) {Aikhenvald 2001}	$nutʃipaɾa$ (pé) {Aikhenvald 2012}	$hiʔimahi$ (pé) {Epps}
for no good reason	por gusto	pour le plaisir	por vontade, por prazer	other						$tsikíʔú$ (por gusto) {Allin 1979}			
forehead	frente	front	testa	bady part	$hu:nta$ <húunta> (frente) {Melendez 2011}	$-é:koa$ (testa) {Ramirez 2001}	$dawitihi$ (testa) {Oliveira 93}		$wa-pùda$ (testa) {H&R 1992}	$-nigí$ (testa) {Allin 1979}	$di-ékwa$ (testa) {Aikhenvald 2001}	$núpunaha$ (testa) {Aikhenvald 2012}	$pulahi$ (testa) {Schauer 2005}
forest	bosque	forêt	floresta	terrain		$awakáda$ (floresta) {Ramirez 2001}				$tébahú$ (floresta) {Allin 1979}			$ehaʔawá$ (floɾesta) {Schauer 2005}
friend, companion	amigo, compañero, paisano	ami, copain, camarade	amigo	other	$hunikaiʃi$ <húnikaiʃi> (amigo) {Melendez 2011}	$-kitsínda$ (amigo) {Ramirez 2001}			$nùakaβé:-$ (amigo) {Klumpp 1995}	$náagí$ (amigo) {Allin 1979}, $tseemánági$ (amigo) {Allin 1979}	$di-phuní-seɾi$ (amigo) {Aikhenvald 2001}	$nuʃabine$ (amigo) {Aikhenvald 2012}	$wákeʔewehi$ (amigo) {Schauer 2005}
frog, toad	rana, sapo	grenouille	sapo	animal	$kuiba$ <kúiba> (rana) {Melendez 2011}		$tibau$ (sapo) {Oliveira 93}	<ruurú> $ruurú$ (sapo) {Epps}	$balùta$ (sapo) {H&R 1992}	$todokáakú$ (sapo) {Epps}	$hípaɾu$ (sapo) {Aikhenvald 2001}, $káma$ $káma$ (sapo) {Epps}, $mulítu$ $mulítu$ (sapo) {Epps}, $páisi$ (sapo) {H&R92}		$makahmena$ (ɾã, teɾmo genéɾico) {Schauer 2005}, $kuɾuɾú$ (sapo) {Schauer 2005}
fruit	fruta	fruit	fruta	plant.edible	$i:taʃi$ <íitaʃi> (fruta) {Melendez 2011}		$babuku$ (fruta) {Oliveira 93}	<ʔahajaka> $ʔahajaka$ (fruta) {Epps}	<ìyacanási> $ìjakanási$ (fruta) {Epps}, $manakúali$ (fruta) {H&R 1992}	$niíkú$ (fruta) {Epps}	$hekú-da$ (fruta) {Aikhenvald 2001}, $haiké-da$ (fruta) {Aikhenvald 2001}, $inaká$ (fruta) {Aikhenvald 2001}		$ítʃahi$ (fruta) {Epps}
fruit sp, Sp “caimo”	caimo, caimito		Caimito, abio, abio-do-pará, aguaí	plant.edible					$emàɺi$ (caimito) {Klumpp 1995}	$himaágibú$ (caimito) {Allin 1979}			$hepela$ (caimo pequeno) {Schauer 2005}
fry (VT)	freír	frire	fritar	verb.act	$sairi$ <sáiri> (fritar) {Melendez 2011}	$-tshíeta$ (fritar) {Ramirez 2001}			$nusá:ka$ (freír) {Klumpp 1995}	$saaʔdu-khú$ (fritar) {Allin 1979}		$frita$ (fritar) {Aikhenvald 2012}	
garbage	basura	ordures, poubelle	lixo	other	$ma:ʃibe:$ <máaʃibee> (basura) {Melendez 2011}	$konóno$ (coisa descartada, lixo) {Ramirez}					$di-dúpe$ (lixo) {Aikhenvald 2001}		$itʃehi$ (lixo) {Schauer 2005}
garden	chacra	jardin	horta, jardim	terrain						$kapíinú$ (horta nova) {Allin 1979}, $ʒakádé$ (horta cultivada) {Allin 1979}			
gather (many people, VI)	reunir	reunir	reunir	verb.int		$waké:ta$ (reunir) {Ramirez 2001}			$nuedáka bànakaɺé ijakaná$ (cosechar) {Klumpp 1995}				$hawakákaho$ (reunir) {Schauer 2005}
gather, collect (VT)	cosechar, juntar	recolter, ramasser	juntar	verb.act		$-waké:ta$ (juntar) {Ramirez 2001}				$ʒiʔ-khú$ (juntar) {Allin 1979}	$di-waká$ (juntar, reunir-se) {Aikhenvald 2001}	$imaɾuta$ (juntar) {Aikhenvald 2012}, $tsiata$ (juntar) {Aikhenvald 2012}	
genipa, plant sp.	huito, jaɡua	genipa	jenipapo	plant		$dá:na$ (jenipapo) {Ramirez 2001}		<náana> $náana$ (jenipapo) {Epps}					$lana$ (jenipapo) {Epps}, $kalaʔmuɾaʔapa(ɾu)$ (jenipapo) {Epps}
germinate, sprout, of plant or feathers	brotar, crecer	pousser	brotar, crescer	verb.int	$dawineriu$ <dáwineriu> (crecer) {Melendez 2011}	$káthiwi$ (brotar) {Ramirez 2001}			$ibakákaβa$ (brotar) {Klumpp 1995}	$-ophú$ (crescer) {Allin 1979}	$kapudé-peɾi$ (germinar) {Aikhenvald 2001}		$heɲoʔokaho$ (brotar) {Schauer 2005}, $ipʰakahe$ (brotaɾ, germinar, crescer) {Schauer 2005}, $motoʔokahe$ (brotar) {Schauer 2005}
get fat	engordar	grossir	engordar	verb.int	$ke:nai$ <kéenai> (gordo) {Melendez 2011}				$nuβaɺíbáidaka$ (engordar) {Klumpp 1995}	$phedeʔ-$ (engotdar) {Allin 1979}		$tʃita$ (engordar) {Aikhenvald 2012}	$pitakaho$ (engordar) {Schauer 2005}
get married	casarse	se marier	casar-se	verb.act					$ne:dájakakaβa$ (casarse) {Klumpp 1995}		$ka-sá-do$ (casar para homem) {Aikhenvald 2001}, $ka-sá-du$ (casar para homem) {Aikhenvald 2001}, $ka-sa-níɾi$ (casar para mulher) {Aikhenvald 2001}		$wáʔakaho$ (se casar) {Schauer 2005}
giant armadillo	carachupa mama	tatou géant	tatu gigante	animal	$tʃe: manaka$ (armadillo de monte), $tʃe: batʃaida$ (armadillo de sabana) {Melendez2011}	$adzána$ (tatu gigante) {Ramirez 2001}							
gills	agalla	branchie	guelras	body part	$ʃikaleʃi$ <ʃíkaleʃi> (agalla) {Melendez 2011}	$waɻópeɻe$ (guelras) {Ramirez 2001}				$óʔkó-$ (guelras) {Allin 1979}, $táapíʔootsi$ (guelras) {Allin 1979}			$eʔehepehi$ (guelras) {Schauer 2005}
girl, female child	chica, niña (muchacha)	fille	menina, garota, mocinha	other	$mijakau$ <mijákau> (muchacha) {Melendez 2011}	$i:naɻóda$ (menina) {Ramirez 2001}			$jálaki$ (menina) {H&R 1992}, $sùmàu$ (niña) {Klumpp 1995}				$yuwaló$ (jovem, menina) {Schauer 2005}
give	dar	donner	dar	verb.act	$jaairi$ <jáairi> (dar) {Melendez 2011}	$-á:$ (dar) {Ramirez 2001}	$daka$ (dar) {Oliveira 93}		$wàaka$ (dar) {H&R 1992}	$-aaʔní$ (dar) {H&R 1992}	$di-á$ (dar) {Aikhenvald 2001}		$aʔakahe$ (dar) {Schauer 2005}
give birth to (trans)	dar a luz a (parir)	accoucher	dar à luz	verb.act		$medzeni$ (nascer) {Ramirez 2001}			$udáiβà:ka$ (dar luz) {Klumpp 1995}		$dhúpa$ (dar a luz) {Aikhenvald 2001}		$ɾuʔuɾí amaɾo ɾohló$ (dar à luz) {Schauer 2005}
go	ir	aller	ir	verb.act	$jaairiu$ <jáairiu> (ir) {Melendez 2011}	$-á:(wa)$ (ir, partir) {Ramirez 2001}	$ihiwa$ (ir) {Oliveira 93}		$pìawa$ (ir) {H&R 1992}, $nùakaβa$ (ir) {Klumpp 1995}		$di-á$ (ir) {Aikhenvald 2001}		$iʔihnakahe$ (ir) {Schauer 2005}
go down, vertical	bajar (descender)	descendre	baixar, descer	verb.act	$jurukueriu$ <júrukueriu> (bajarse) {Melendez 2011}	$-ooɻóko$ (descer) {Ramirez 2001}			$nuɺikùakaβa$ (baixar) {Klumpp 1995}	$-hodóʔkó$ (baixar) {Allin 1979}	$di-ɾúku$ (descer, baixar) {Aikhenvald 2001}	$ʃuduna$ (descer) {Aikhenvald 2012}	$witúkaʔakahe$ (baixar, descer) {Schauer 2005}
go downriver	bajar (ir aguas abajo)	aller en aval	ir rio abaixo	verb.act		$-maɻa$ (baixar, rio) {Ramirez 2001}				$-amadu$ (ir rio abaixo) {Allin 1979}	$dí-maɾa$ (baixar, ir rio abaixo) {Aikhenvald 2001}	$yama$ (ir rio abaixo) {Aikhenvald 2012}	$iʔiwatákaho$ (se abaixar na água) {Schauer 2005}
go up, vertical	subir	monter	subir	verb.act	$iireriu$ <íireriu> (subir) {Melendez 2011}	$-híɻa$ (subir) {Ramirez 2001}		<irhé> $irhé$ (subir) {Epps}	$numitʃà:kaβa$ (subir) {Klumpp 1995}	$-iʔʃú$ (subir) {Allin 1979}			$ɲakahe$ (subir) {Schauer 2005}
go upriver	surcar (ir aguas arriba)	aller en amont	ir na contracorrente/sembem o rio	verb.act		$-híɻa$ (subir) {Ramirez 2001}					$dí-yũ$ (subir, ir rio acima) {Aikhenvald 2001}, $dí-ñu$ (subir, ir rio acima) {Aikhenvald 2001}	$kadika$ (subir o rio) {Aikhenvald 2012}	$iʔihɾatákahe$ (subir o rio) {Schauer 2005}
god	dios	dieu	deus	other		$dío$ (deus) {Ramirez 2001}						$diutʃu$ (Deus) {Aikhenvald 2012}	$tupana$ (ser supremo) {Schauer 2005}
godfather	padrino	parrain	padrinho	kinship						$-hanígiiʔʒó$ (padrinho) {Allin 1979	$haniɾí-da$ (padrinho) {Aikhenvald 2001}		
godmother	madrina	marrain	madrinha	kinship						$-hanávaaʔʒé$ (madrinha) {Allin 1979}	$hadoá-da$ (madrinha) {Aikhenvald 2001}		
gold	oro	or	ouro	other				$ówiɾo$ (ouro) {Ramirez2001}				$weduanaɾi$ (bom) {Aikhenvald 2012}	$uwiɾu$ (ouro) {Schauer 2005}
good	bueno	bon	bom	other	$saika$ <sáika> (bueno) {Melendez 2011}	$mátsia$ (bom) {Ramirez 2001}	$iduari$ (bom) {Oliveira 93}	<tʃuni-ka> $tʃuni-ka$ (bom) {Epps}	<cayábéeri> $kajábé:ɾi$ (bom) {Epps}	$kaʃóʔ$ $kaʃóʔ$ (bom) {Epps}	$mac̃í:te$ (bom) {Aikhenvald 2001}, $mac̃á-ite$ (bom) {Aikhenvald 2001}	$anetua$ (bom) {Aikhenvald 2012}	$palani$ (bom) {Epps}
gourd vessel Sp “pate”	pate	calebasse	cabaço, abóbora	other				<kaʔrú> $kaʔrú$ (cuia) {Epps}	<bacàa> $bakàa$ (cuia) {Epps}, <cumàchi> $kumàtʃi$ (cuia) {Epps}		$wesíyali$ (cuia) {Aikhenvald 2001}, $tíya$ (cuia) {Aikhenvald 2001}, $káiɾa$ (cuia) {Aikhenvald 2001}, $kú:silu$ (cuia) {Aikhenvald 2001}	$matu$ (cuia) {Aikhenvald 2012}	$kuha$ (cuia) {Epps}, $akáʔɾú$ (cuia) {Epps}, $tuku$ (cuia) {Epps}
grab, close the hand around sth, telic and punctual	agarrar, arrancar	saisir, empoigner	agarrar, arrancar	verb.act	$subirieri$ <súbirieri> (arrancar) {Melendez 2011}	$-hí:dzoa$ (agarrar) {Ramirez 2001}	$tamiri$ (agarrar) {Oliveira 93}		$nukacà:ka$ (arrancar) {Klump 1995}	$bedoʔ-khú$ (arrancar) {Allin 1979}	$di-boletá$ (arrancar) {Aikhenvald 2001}	$beɾika$ (arrancar) {Aikhenvald 2012}, $tsunua$ (corda) {Aikhenvald 2012}	$patakahe$ (agarrar) {Schauer 2005}
grab, get, make motion to take sth	agarrar, alcanzar	aller chercher, atrapper	agarrar, alcançar	verb.act	$dukueri$ <dúkueri> (alcanzar) {Melendez 2011}	$-hí:dzoa$ (agarrar) {Ramirez 2001}			$nudékaβa$ (alcanzar) {Klumpp 1995}	$guu-ʒú$ (alcançar) {Allin 1979}			$eʔelotákaho$ (alcançar) {Schauer 2005}
grandchild	nieto, nieta	petit-enfant	neto, neta	kinship		$-dáke:ɻi$ (neto) {Ramirez 2001}, $-daké:doa$ (neta) {Ramirez 2001}	$nuakãnare$ (neto) {Oliveira 93}			$-iʔžaátováʔ$ (neta) {Allin 1979}, $-iʔžaátováʔ$ (neto) {Allin 1979}	$di-dáki-ɾu$ (neta) {Aikhenvald 2001}, $di-dáki-ɾi$ (neto) {Aikhenvald 2001}	$nuyãtani$ (neto, neta) {Aikhenvald 2012}	$lakénahi$ (netos, netas) {Schauer 2005}
granddaughter	nieta	petite-fille	neta	kinship		$-daké:doa$ (neta) {Ramirez 2001}	$akana$ (neta) {Oliveira 93}		$nutakuéɾi$ (nieta) {Klumpp 1995}, $nutakuéɾi$ (nieto) {Klumpp 1995}, $nutakuénái$ (nietos) {Klumpp 1995}	$-iʔžaátováʔ$ (neta) {Allin 1979}	$di-dáki-ɾu$ (neta) {Aikhenvald 2001}		$lakélohi$ (neta) {Schauer 2005}
grandfather	abuelo	grand-père	avô	kinship		$-wheɻi$ (avô) {Ramirez 2001}			$nùaβiɾi$ (avô) {Klump95}	$-oʔhoogí$ (avô) {Allin 1979}, $tyaʔdíío$ (avó) {Allin 1979}	$di-whé-ɾi$ (avô) {Aikhenvald 2001}	$nádu$ (avó) {Aikhenvald 2012}	$aʔahútahi$ (avô) {Schauer 2005}
grandmother	abuela	grand-mère	avó	kinship	$ruidaʃi$ <rúidaʃi> (abuela) {Melendez 2011}	$-híɻomi$ (avó) {Ramirez 2001}			$nu-íɾu$ (avó) {Klumpp 1995}	$-hiídó$ (avó) {Allin 1979}, $taáʒé$ (avó) {Allin 1979}	$hido$ (avó) {Aikhenvald 2001}		$iɾútahi$ (avó) {Schauer 2005}
grandson	nieto	petit-garçon	neto	kinship		$-dáke:ɻi$ (neto) {Ramirez 2001}	$nuakãnare$ (neto) {Oliveira 93}		$nutakuéɾi$ (nieto) {Klumpp 1995}		$di-dáki-ɾi$ (neto) {Aikhenvald 2001}		$lakehi$ (neto) {Schauer 2005}
grass	hierba	herbe	grama	plant	$hi:ja$ <híija> (hierba) {Melendez 2011}	$kanapiɻi$ (capim) {Ramirez 2001}, $it̺adoi$ (capim) {Ramirez 2001}, $matshídaɺi$ (capim) {Ramirez 2001}, $maɺí:tsi$ (capim) {Ramirez 2001}, $tsakaɻákawa$ (capim) {Ramirez 2001}	$hibeni$ (grama) {Oliveira 93}	<ka:na:phiri> $ka:na:phiri$ (grama) {Epps}	<màsikài> $màsikài$ (grama) {Epps}, <kanapíri> $kanapíri$ (grama) {Epps}	$himiítsí$ (grama) {Epps}	$kanápiɾi$ (mato) {Aikhenvald 2001}, $kepipipe$ $kepipipe$ (capim) {Epps}	$puapua$ (mato) {Aikhenvald 2012}, $tawape$ (mato) {Aikhenvald 2012}	$himitʃi$ (grama) {Epps}
grasshopper	saltamontes	sauterelle	gafanhoto	insect		$dzí:ɻo$ (gafanhoto) {Ramirez 2001}, $mané:ɲai$ (gafanhoto) {Ramirez 2001}, $tsákaɻa$ (gafanhoto) {Ramirez 2001}			$βirì:tʃu$ (saltamontes) {Klumpp 1995}		$hiɾíyu$ (gafanhoto) {Aikhenvald 2001}		$mahitʃíɾaʔapʰa$ (gafanhoto) {Schauer 2005}
green	verde	vert	verde	verb.stat	$ule:ji$ <uléejii> (verde) {Melendez 2011}	$hípoɺe$ (verde) {Ramirez 2001}	$kurini$ (verde) {Oliveira 93}	<puré> $puré$ (verde) {Epps}	<ipùléeri> $ipùlé:ɾi$ (verde) {Epps}	$ipogíʔ$ (verde) {Epps}	$hipolíte$ (verde) {Aikhenvald 2001}	$púɾeɾi$ (verde) {Aikhenvald 2012}	$ipuɾeni$ (verde) {Epps}
